carbon,silicon,sulfur,phosphorus,magnesium,manganese,nickel,copper,molybdenum,chromium,aluminium,tin,graphite_precipitation,spheroid_diameter,nodularity
3.37,2.32,0.008,0.03,0.039,0.2,1.49,0.0,0.13,0.0,0.0,0.0,100.0,,
3.0,2.5,0.0,0.0,0.058,0.16,0.58,0.75,0.11,0.0,0.0,0.0,126.0,,
3.3,2.3,0.0,0.0,0.045,0.14,0.54,0.65,0.14,0.0,0.0,0.0,161.0,,
3.62,3.3,0.006,0.036,0.065,0.21,0.0,0.54,0.22,0.0,0.0,0.0,105.0,,
3.68,2.28,0.005,0.032,0.06,0.22,0.0,0.56,0.24,0.0,0.0,0.0,62.0,,
3.64,2.68,0.004,0.033,0.06,0.22,0.0,0.56,0.21,0.0,0.0,0.0,71.0,,
3.67,3.0,0.005,0.033,0.059,0.22,0.0,0.57,0.29,0.0,0.0,0.0,77.0,,
3.0,2.5,0.0,0.0,0.054,0.11,0.58,0.75,0.16,0.0,0.0,0.0,126.0,,
3.26,2.6,0.018,0.016,0.056,0.375,0.0,0.0,0.0,0.0,0.0,0.0,105.0,70.0,60.0
3.565,2.85,0.0235,0.0295,0.048,0.615,0.044,0.525,0.33,0.0,0.0,0.0,98.0,60.0,70.0
3.39,2.56,0.0,0.0,0.04,0.37,0.0,0.29,0.25,0.0,0.0,0.0,104.0,,
3.52,2.64,0.0,0.0,0.04,0.67,0.0,0.25,0.25,0.0,0.0,0.0,102.0,,
3.48,2.51,0.0,0.0,0.04,0.56,0.0,0.31,0.15,0.0,0.0,0.0,130.0,,
3.5,2.32,0.0,0.0,0.04,0.59,0.0,0.29,0.33,0.0,0.0,0.0,230.0,,
3.6,3.2,0.013,0.015,0.06,0.24,0.68,0.78,0.31,0.0,0.0,0.0,337.0,,
3.6,3.58,0.01,0.014,0.054,0.24,0.65,0.68,0.32,0.0,0.0,0.0,480.0,,
3.66,2.69,0.005,0.012,0.047,0.2,0.61,0.59,0.28,0.0,0.0,0.0,400.0,,
3.6,2.66,0.01,0.05,0.085,0.13,0.52,0.52,0.0,0.0,0.0,0.0,275.0,,
3.2,2.5,0.015,0.04,0.085,0.15,0.97,0.6,0.0,0.0,0.0,0.0,275.0,,
3.5,2.35,0.015,0.035,0.065,0.13,1.0,0.95,0.0,0.0,0.0,0.0,275.0,,
3.55,2.3,0.015,0.035,0.06,0.13,1.45,0.6,0.0,0.0,0.0,0.0,275.0,,
3.6,2.4,0.01,0.035,0.058,0.19,0.98,0.22,0.0,0.0,0.0,0.0,275.0,,
3.3,2.2,0.012,0.02,0.055,0.1,1.49,1.03,0.0,0.0,0.0,0.0,275.0,,
3.7,2.45,0.015,0.035,0.055,0.18,0.49,0.59,0.0,0.0,0.0,0.0,275.0,,
3.6,2.5,0.011,0.025,0.051,0.1,1.55,1.0,0.0,0.0,0.0,0.0,275.0,,
3.45,2.55,0.01,0.04,0.05,0.1,0.5,0.96,0.0,0.0,0.0,0.0,275.0,,
3.58,2.27,0.008,0.038,0.037,0.12,0.46,0.5,0.0,0.0,0.0,0.0,100.0,25.0,80.0
3.64,2.48,0.009,0.025,0.045,0.16,0.43,0.45,0.0,0.0,0.0,0.0,110.0,20.0,90.0
3.4,2.69,0.01,0.02,0.044,0.19,0.73,0.87,0.23,0.04,0.015,0.007,200.0,,95.0
3.45,2.82,0.019,0.032,0.041,0.061,0.0,0.0,0.0,0.0,0.0,0.0,37.0,44.0,
3.575,2.515,0.0125,0.031,0.0415,0.2,0.0,0.64,0.0,0.0,0.0,0.0,77.5,34.5,75.0
3.14,2.67,0.003,0.023,0.0,0.07,0.8,0.3,0.25,0.12,0.0,0.0,120.0,,
3.43,2.9,0.01,0.01,0.03,0.29,1.2,1.2,0.0,0.0,0.0,0.0,275.0,,100.0
3.2,2.95,0.0,0.0,0.056,0.22,0.71,1.0,0.2,0.0,0.0,0.0,348.0,,100.0
3.26,3.0,0.0,0.0,0.06,0.23,0.48,0.91,0.11,0.0,0.0,0.0,237.0,,100.0
3.1,3.1,0.0,0.0,0.04,0.24,0.49,0.94,0.11,0.0,0.0,0.0,176.0,,100.0
